FileName,Content
2017-01-01_01-25-22_UTC.txt,First 2017 Selfie! 🙂👍🏼🇳🇨🏝
2017-01-04_04-50-34_UTC.txt,Exotic flower. #Nature #Flower #CloseUp #Blooming
2017-01-09_00-24-32_UTC.txt,It's called Frangipani!
2017-01-09_05-31-33_UTC.txt,"Back to the place in which I feel as my second home. An amazing city inspired by many different cultures and people. I really love coming here each year. You got the city center, the Melbourne Zoo, the Melbourne Park, the Royal Botanic Gardens, the Melbourne Museum, free public transport, multi-international gastronomy and so much more in just one city. You really got a cultural scene here. Can't wait for the action to start at the @australianopen. #Melbourne #City #Surroundings"
2017-01-10_08-48-34_UTC.txt,I am here for #MyGame. Ready for @australianopen! #CreateYourStage
2017-01-13_00-29-36_UTC.txt,‪I didn't get the second round win yesterday but despite that got a great photoshooting with @atpworldtour today at the @rodlaverarena.‬
2017-01-19_15-54-57_UTC.txt,😮🎾 #AusOpen
2017-01-26_17-39-21_UTC.txt,How to close the match with the perfect dive!
2017-01-31_09-33-03_UTC.txt,You never know how strong you are until being strong is the only choice you have.
2017-01-31_09-41-18_UTC.txt,Eyes on the 🎾! #ATP #Photoshoot
2017-01-31_10-30-35_UTC.txt,That one-handed flying backhand. My favorite one! #ATP #Photoshoot
2017-01-31_10-44-05_UTC.txt,😐👉🏼📸👈🏼 #ATP #Photoshoot
2017-02-04_18-21-33_UTC.txt,Focusing to the 🎾 is 🔑.
2017-02-12_13-57-51_UTC.txt,I smile because I have no idea what the hell is going on. 🙂
2017-02-12_14-06-24_UTC.txt,Some serves from today's practice at the @abnamrowtt. Getting prepared for my match on Tuesday.
2017-02-13_19-48-01_UTC.txt,Getting prepared for tomorrow with @viktortroicki at the @abnamrowtt.
2017-02-14_20-05-33_UTC.txt,That backhand! 🎾💨
2017-02-15_10-54-11_UTC.txt,You are your only limit. @adidastennis #MyGame
2017-02-17_15-08-53_UTC.txt,"I don't remember who came up with the handshake idea, but it was a great one. @adidastennis #MyGame"
2017-02-17_22-57-54_UTC.txt,I had a great week in Rotterdam. I can say I always felt very welcomed and nice whenever in Holland. I kindly appreciate that. Thank you @abnamrowtt for your great hospitality and for hosting one of the best tournaments. Thank you once more for offering this unique experience! I will hopefully be back next year! #ABNAMROWTT
2017-02-25_17-44-34_UTC.txt,"Life isn't always perfect, but your hair can be."
2017-03-09_11-45-42_UTC.txt,Throwback to last year's @champseedfoundation event at the @mouratoglou_tennis_academy. What a team! #Tennis #Team #GreatMemories
2017-03-09_23-06-29_UTC.txt,It was a great night watching @olympiacosfc face @besiktas in a tie. #UEFA #EuropaLeague #Football
2017-03-16_20-41-54_UTC.txt,Practice repetition. 🤜🏼🎾💨
2017-03-21_09-22-08_UTC.txt,I need vitamin sea. #Beach 🏖 #Footprints 👣 #Relaxation 🤤
2017-03-21_21-24-58_UTC.txt,"Russian superiority, greek finesse. Where else?"
2017-03-27_11-11-18_UTC.txt,What about this one?
2017-04-02_19-05-15_UTC.txt,🎥 from today's 🎾💨 practice with 🇫🇷 @phmofficiel at the indoors of the 🌧 @mouratoglou_tennis_academy.
2017-04-06_05-17-23_UTC.txt,🔜🎾💨 #VerrazzanoOpen
2017-04-06_12-33-39_UTC.txt,"We got the job done properly today, after a two and a half hour morning practice at the @mouratoglou_tennis_academy. What's better than that?"
2017-04-07_11-16-34_UTC.txt,From yesterday's practice with @andymurray at the @mouratoglou_tennis_academy.  I was very happy to see him play injury-free and in a great shape.
2017-04-21_11-22-49_UTC.txt,#Gelato 🇮🇹🍦
2017-04-27_16-11-28_UTC.txt,#Portrait 👱🏼
2017-04-29_18-39-40_UTC.txt,🏃🏼💨🎾👀 #TsitsiFast
